,工程タイトル,作業説明,進捗,必要時間,←事前知識や可処分時間によって異なりますので各自設定してください
事前準備,データのダウンロード,データをダウンロードする。,✅,,
事前準備,スライドを作る練習,GoogleスライドやCanvaで作ってみる。,不要！,,
課題の理解,課題内容の把握,READMEを確認し、要件を理解する。,✅,,
課題の理解,修了例のレビュー,最低限の修了要件を満たす例として、「最終課題_修了例.pdf」を確認する。,未達成,0.1,
課題の理解,優秀修了例のレビュー,過去の優秀生のプレゼンテーションを見て、参考にする。,あとでやる！,,
課題の理解,ヒントを得る,解説動画２本を視聴,未達成,1,
課題の理解,,beginnerノートブックを動かしてみる,未達成,1,
課題の理解,,proノートブックを動かしてみる,未達成,1,
課題の理解,,NG集を確認する。,未達成,0.3,
課題の理解,市場分析の実施,外部データや参考資料を調査し、市場分析を行う。,未達成,2,
データ分析,EDA（探索的データ分析）の実施,EDAを実施し、データの理解を深める。,未達成,5,
データ分析,特徴量エンジニアリングの適用,データの特徴量エンジニアリングを行い、分析に必要な変数を作成する。,未達成,5,
データ分析,モデル構築と評価,機械学習モデルを構築し、評価指標を用いてその性能を評価する。,未達成,10,
提出作業,事業提案の作成,分析結果に基づいて事業提案を作成し、プレゼンテーション資料を作成する。,未達成,10,
提出作業,READMEのチェックリストを確認,全部の項目が埋まるか再度確認する。,未達成,0.1,
提出作業,NG集を確認,NG集の内容に該当していないか確認する。,未達成,0.2,
提出作業,過去の優秀修了生のプレゼンテーションとの比較,優秀生を目指す方は自身のスライドと比べて不足を補う,未達成,1,
提出作業,資料の最終チェックと提出,READMEの提出方法を再度確認し、Omnicampusで提出する。,未達成,0.2,
,,,,36.9,⇐残り合計必要時間！
タイムライン,,,,,
開始日： 2025/5/20（火）,,,,,
提出期限： 2025/7/29 （火）17:00(JST)（厳守）,,,,,
,,,,,
★再受講コースの方の提出期限： 2025/7/1 （火）17:00(JST)（厳守）,,,,,